Team,player,round
Fire Sale in August,Hunter Brown,6
Fire Sale in August,Jarren Duran,12
Fire Sale in August,MacKenzie Gore,15
Fire Sale in August,Ramon Anthony,16
Dirty Birds,Tarik Skubal,1
Dirty Birds,Elly De La Cruz,4
Dirty Birds,Junior Caminero,5
Dirty Birds,Nick Kurtz,8
Willie Mays Hayes,James Wood,11
Willie Mays Hayes,Shohei Ohtani (Pitcher),14
Willie Mays Hayes,Paul Skenes,17
Willie Mays Hayes,Bubba Chandler,23
Fully Erect Dingers,Ketel Marte,12
Fully Erect Dingers,Zach Neto,8
Fully Erect Dingers,Mason Miller,20
Fully Erect Dingers,Nick Pivetta,16
Murder the Manfred Man,Cristopher Sanchez,13
Murder the Manfred Man,Nico Hoerner,12
Me and Julio DBTSY,Bobby Witt,1
Me and Julio DBTSY,Julio Rodriguez,6
Me and Julio DBTSY,Pete Crow-Armstrong,11
Me and Julio DBTSY,Brice Turang,13
Baseball Team,Willson Contreras,18
Baseball Team,Yandy Diaz,15
Baseball Team,Aroldis Chapman,20
Baseball Team,Trevor Story,21
Will's Short Porch,Mike Trout,4
Will's Short Porch,Will Smith,9
Rockford Peaches,Brandon Nimmo,18
Rockford Peaches,Nathan Eovaldi,15
Rockford Peaches,Steven Kwan,17
Rockford Peaches,Garrett Crochet,6
The McClowns,Cal Raleigh,7
The McClowns,Bryan Woo,9
The McClowns,Ranger Suarez,24
The McClowns,Oneil Cruz,15
